source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Novosphingobium	Agrobacterium	1	1.9737298215558336e-31	1.9737298215558336e-31	1.9737298215558336e-31	['Sediment_(non-saline)']
Novosphingobium	Candidatus Solibacter	1	3.700743415417188e-31	7.401486830834373e-32	1.6858942225789408e-31	['Sediment_(non-saline)']
Novosphingobium	Sediminibacterium	1	1.233581138472396e-31	2.467162276944792e-32	7.894919286223333e-32	['Sediment_(non-saline)']
Novosphingobium	Sphingomonas echinoides	1	3.9968028886505626e-30	1.3322676295501876e-30	2.6645352591003752e-30	['Plant_rhizosphere']
Novosphingobium	Bradyrhizobium	1	3.9968028886505626e-30	3.9968028886505626e-30	3.9968028886505626e-30	['Sediment_(non-saline)']
Novosphingobium	Phenylobacterium	1	7.894919286223334e-31	1.9737298215558336e-31	4.934324553889584e-31	['Plant_rhizosphere']
Novosphingobium	[Prevotella]	1	1.480297366166875e-31	4.934324553889584e-32	9.868649107779168e-32	['Sediment_(non-saline)']
Novosphingobium	Campylobacter	1	3.947459643111667e-31	1.9737298215558336e-31	2.96059473233375e-31	['Plant_rhizosphere']
Novosphingobium	Opitutus	1	1.233581138472396e-31	2.467162276944792e-32	6.784696261598177e-32	['Plant_rhizosphere']
Novosphingobium	Planctomyces	1	8.449706506007289e-05	6.908054375445417e-31	2.816568835335763e-05	['Plant_rhizosphere']
Novosphingobium	Corallococcus exiguus	1	1.480297366166875e-31	4.934324553889584e-32	1.0855514018557084e-31	['Sediment_(non-saline)']
Novosphingobium	Caulobacter	1	2.467162276944792e-31	4.934324553889584e-32	1.5625361087317016e-31	['Sediment_(non-saline)']
Novosphingobium	Turneriella	1	1.1941894718657145e-30	3.980631572885715e-31	6.966105252550001e-31	['Animal_proximal_gut']
Novosphingobium	Frigoribacterium	1	2.467162276944792e-31	4.934324553889584e-32	1.3816108750890835e-31	['Sediment_(non-saline)']
Novosphingobium	Janthinobacterium	1	4.4408920985006326e-17	2.467162276944792e-32	8.881784197001317e-18	['Sediment_(non-saline)']
Novosphingobium	Paracoccus	1	1.480297366166875e-31	4.934324553889584e-32	9.046261682130903e-32	['Sediment_(non-saline)']
Novosphingobium	Mycobacterium	1	4.934324553889584e-31	9.868649107779168e-32	2.6316397620744448e-31	['Sediment_(non-saline)']
Methylobacterium adhaesivum	Skermanella	1	3.1150629818298444e-05	4.934324553889584e-32	2.523722822993665e-06	['Plant_surface']
Skermanella	Acinetobacter lwoffii	1	7.845576040684439e-30	1.3075960067807398e-30	4.867162914128309e-30	['Animal_distal_gut']
Skermanella	Paracoccus marcusii	1	0.0409434592390418	0.012838798938289	0.0268911290886654	['Animal_distal_gut']
Skermanella	Novosphingobium	1	1.233581138472396e-31	1.233581138472396e-31	1.233581138472396e-31	['Animal_distal_gut']
Skermanella	Rhodoplanes	1	2.467162276944792e-30	1.233581138472396e-30	1.8503717077085943e-30	['Animal_distal_gut']
Skermanella	Luteimonas	1	0.0001187017714825	4.934324553889584e-32	2.497540021551353e-05	['Plant_surface']
Skermanella	Balneimonas	1	1.5789838572446672e-30	1.5789838572446672e-30	1.5789838572446672e-30	['Animal_distal_gut']
Skermanella	Flavisolibacter	1	1.9737298215558337e-30	1.5789838572446672e-30	1.7763568394002506e-30	['Animal_distal_gut']
Skermanella	Anaeromyxobacter	1	1.233581138472396e-31	4.934324553889584e-32	9.046261682130903e-32	['Plant_surface']
Skermanella	Veillonella dispar	1	2.467162276944792e-32	2.467162276944792e-32	2.467162276944792e-32	['Animal_distal_gut']
