method	N	precision	baseline	lift
MI-sum(nbins=3)	1671	0.0011968880909634949	0.001373534338358459	0.8713929150063494
MI-sum(nbins=3)	1820	0.001098901098901099	0.001373534338358459	0.8000536049316538
MI-sum(nbins=3)	1981	0.0010095911155981827	0.001373534338358459	0.7350315805025794
MI-sum(nbins=3)	2000	0.001	0.001373534338358459	0.728048780487805
MI-sum(nbins=3)	2157	0.0009272137227630969	0.001373534338358459	0.6750568201092303
MI-sum(nbins=3)	2348	0.0008517887563884157	0.001373534338358459	0.6201437653218099
MI-sum(nbins=3)	2556	0.0019561815336463224	0.001373534338358459	1.424195579983969
MI-sum(nbins=3)	2782	0.0017972681524083393	0.001373534338358459	1.3084988865704617
MI-sum(nbins=3)	3000	0.0023333333333333335	0.001373534338358459	1.6987804878048782
MI-sum(nbins=3)	3029	0.00231099372730274	0.001373534338358459	1.6825161648777267
MI-sum(nbins=3)	3297	0.002426448286320898	0.001373534338358459	1.7665727157726538
MI-sum(nbins=3)	3590	0.0022284122562674096	0.001373534338358459	1.6223928255995652
MI-sum(nbins=3)	3908	0.0020470829068577278	0.001373534338358459	1.4903762138951995
MI-sum(nbins=3)	4254	0.0018805829807240243	0.001373534338358459	1.369156145722247
MI-sum(nbins=3)	4631	0.0019434247462751025	0.001373534338358459	1.41490801649541
MI-sum(nbins=3)	5000	0.0022	0.001373534338358459	1.6017073170731708
MI-sum(nbins=3)	5042	0.00218167393891313	0.001373534338358459	1.58836505064773
MI-sum(nbins=3)	5489	0.00218619056294407	0.001373534338358459	1.591653373265378
MI-sum(nbins=3)	5975	0.0021757322175732217	0.001373534338358459	1.5840391876722115
MI-sum(nbins=3)	6505	0.0021521906225980014	0.001373534338358459	1.5668997581597646
MI-sum(nbins=3)	7081	0.0021183448665442733	0.001373534338358459	1.54225839674016
MI-sum(nbins=3)	7709	0.0020754961733039303	0.001373534338358459	1.511062457881032
MI-sum(nbins=3)	8392	0.0019065776930409914	0.001373534338358459	1.3880815643237463
MI-sum(nbins=3)	9136	0.00186077057793345	0.001373534338358459	1.3547317500320364
MI-sum(nbins=3)	9946	0.0018097727729740598	0.001373534338358459	1.3176028603237973
MI-sum(nbins=3)	10000	0.0018	0.001373534338358459	1.3104878048780488
MI-sum(nbins=3)	10827	0.0017548720790616053	0.001373534338358459	1.2776324770729006
MI-sum(nbins=3)	11787	0.001611945363536099	0.001373534338358459	1.1735748561354282
MI-sum(nbins=3)	12832	0.0014806733167082294	0.001373534338358459	1.0780024025302597
MI-sum(nbins=3)	13969	0.001503328799484573	0.001373534338358459	1.0944966991369391
MI-sum(nbins=3)	15208	0.0015781167806417674	0.001373534338358459	1.1489459976135794
MI-sum(nbins=3)	16555	0.0016309272123225611	0.001373534338358459	1.1873945679958158
MI-sum(nbins=3)	18023	0.0016090550962658825	0.001373534338358459	1.1714706005740634
MI-sum(nbins=3)	19620	0.0016819571865443425	0.001373534338358459	1.2245468784963078
MI-sum(nbins=3)	20000	0.0017	0.001373534338358459	1.2376829268292682
MI-sum(nbins=3)	21359	0.0017791095088721383	0.001373534338358459	1.2952785082886178
MI-sum(nbins=3)	23253	0.0017202081451855675	0.001373534338358459	1.2523954422875412
MI-sum(nbins=3)	25314	0.0017381686023544283	0.001373534338358459	1.2654715312263338
MI-sum(nbins=3)	27557	0.0016692673367928294	0.001373534338358459	1.2153080488601453
MI-sum(nbins=3)	30000	0.0016	0.001373534338358459	1.164878048780488
Spearman-sum(posonly)	200	0.005	0.001373534338358459	3.6402439024390247
Spearman-sum(posonly)	218	0.0045871559633027525	0.001373534338358459	3.339673304989931
Spearman-sum(posonly)	237	0.004219409282700422	0.001373534338358459	3.0719357826489655
Spearman-sum(posonly)	258	0.003875968992248062	0.001373534338358459	2.8218944980147476
Spearman-sum(posonly)	281	0.0035587188612099642	0.001373534338358459	2.5909209270028644
Spearman-sum(posonly)	300	0.0033333333333333335	0.001373534338358459	2.4268292682926833
Spearman-sum(posonly)	306	0.0032679738562091504	0.001373534338358459	2.379244380679101
